number,value,datetime_start,datetime_complete,duration,batch_size,learning_rate,max_input_length,max_new_tokens,max_target_length,no_repeat_ngram_size,num_beams,warmup_ratio,weight_decay,best_val_bleu,state
0,9.336223678123421,2026-05-12 18:16:33.320307,2026-05-12 18:25:12.912696,0 days 00:08:39.592389,4,0.00022296925340318884,64,64,128,2,3,0.24581445467409063,0.0926049135984863,9.336223678123421,COMPLETE
1,11.833186959891021,2026-05-12 18:25:12.924928,2026-05-12 18:40:05.293149,0 days 00:14:52.368221,8,3.5309330539092404e-05,128,128,128,2,4,0.29156727094543666,0.09769387788521405,11.833186959891021,COMPLETE
2,11.691299131503994,2026-05-12 18:40:05.316969,2026-05-12 18:53:25.928661,0 days 00:13:20.611692,8,4.129695833845081e-05,128,128,128,2,4,0.18063216062649107,0.03688426442172861,11.691299131503994,COMPLETE
3,20.241143276609932,2026-05-12 18:53:25.947576,2026-05-12 19:05:51.129817,0 days 00:12:25.182241,4,4.443488021585849e-05,64,64,256,5,4,0.11178471344972545,0.09964647660468041,20.241143276609932,COMPLETE
4,15.313326084778321,2026-05-12 19:05:51.139239,2026-05-12 19:17:12.234004,0 days 00:11:21.094765,4,2.662648281486638e-05,128,128,128,3,3,0.2692197363286937,0.049476786131509166,15.313326084778321,COMPLETE
5,6.04715558799874,2026-05-12 19:17:12.241433,2026-05-13 02:51:41.765810,0 days 07:34:29.524377,8,0.00035047808085592004,128,128,256,2,2,0.22689665822878458,0.032684497650250346,,PRUNED
6,0.0,2026-05-13 02:51:41.786999,2026-05-13 03:41:55.395217,0 days 00:50:13.608218,4,6.608668574296102e-05,64,128,128,5,4,0.2557765125742302,0.07566062830912498,,PRUNED
7,0.0,2026-05-13 03:41:55.413996,2026-05-13 04:23:14.694834,0 days 00:41:19.280838,4,1.3684400090653981e-05,128,128,256,3,3,0.2524422559153365,0.008741828059156331,,PRUNED
8,0.0,2026-05-13 04:23:14.720466,2026-05-13 05:01:54.723582,0 days 00:38:40.003116,4,7.58188286387172e-05,128,128,256,2,3,0.08243984560423236,0.010626083873064109,,PRUNED
9,0.0,2026-05-13 05:01:54.743622,2026-05-13 05:34:07.483170,0 days 00:32:12.739548,4,0.00014198169761035407,64,128,256,3,2,0.10446390372009855,0.018525059830338832,,PRUNED
10,0.0,2026-05-13 05:34:07.502789,2026-05-13 06:04:46.100193,0 days 00:30:38.597404,8,1.1327507590926842e-05,64,64,256,5,4,0.131196796406705,0.06651265633962054,,PRUNED
11,0.0,2026-05-13 06:04:46.124911,2026-05-13 06:09:57.236361,0 days 00:05:11.111450,4,2.4186604956060603e-05,64,64,128,4,3,0.15757912444224975,0.056806814942447895,,PRUNED
12,17.50804037014649,2026-05-13 06:09:57.254879,2026-05-13 06:19:42.541815,0 days 00:09:45.286936,4,2.3724788916254964e-05,64,64,128,4,2,0.050141688515062614,0.04695831449540449,17.50804037014649,COMPLETE
13,16.92161677413201,2026-05-13 06:19:42.550447,2026-05-13 06:31:10.922699,0 days 00:11:28.372252,4,7.231940601676826e-05,64,64,256,4,2,0.05581600619291517,0.07785183486879176,16.92161677413201,COMPLETE
14,17.739973980441047,2026-05-13 06:31:10.931067,2026-05-13 06:38:39.530826,0 days 00:07:28.599759,4,2.0343109513102256e-05,64,64,128,5,2,0.054071467008432,0.0400561545391878,17.739973980441047,COMPLETE
15,17.800624469517903,2026-05-13 06:38:39.537541,2026-05-13 06:50:45.486003,0 days 00:12:05.948462,4,1.6623556777667807e-05,64,64,256,5,4,0.09703723256229344,0.0322697731402668,17.800624469517903,COMPLETE
16,19.480591100731097,2026-05-13 06:50:45.493270,2026-05-13 07:03:07.061933,0 days 00:12:21.568663,4,4.904261572262423e-05,64,64,256,5,4,0.11675930916104305,0.02137875180404759,19.480591100731097,COMPLETE
17,11.86859534176756,2026-05-13 07:03:07.069413,2026-05-13 07:06:29.016500,0 days 00:03:21.947087,4,4.547136956656166e-05,64,64,256,4,4,0.19178062586823028,0.023467809726667038,,PRUNED
18,12.893144755885157,2026-05-13 07:06:29.022733,2026-05-13 10:29:55.139405,0 days 03:23:26.116672,8,0.00012117167760489812,64,64,256,5,4,0.14038008422337273,0.0016702767565874438,,PRUNED
19,0.0,2026-05-13 10:29:55.198120,2026-05-13 11:11:03.417108,0 days 00:41:08.218988,4,0.0001224249896526776,64,64,256,5,4,0.12541494428749433,0.086447297154202,,PRUNED
