number,value,datetime_start,datetime_complete,duration,batch_size,learning_rate,max_input_length,max_new_tokens,max_target_length,no_repeat_ngram_size,num_beams,warmup_ratio,weight_decay,best_val_bleu,state
3,20.241143276609932,53:25.9,05:51.1,0 days 00:12:25.182241,4,4.443488021585849e-05,64,64,256,5,4,0.11178471344972545,0.099646477,20.241143276609932,COMPLETE
16,19.480591100731097,50:45.5,03:07.1,0 days 00:12:21.568663,4,4.904261572262423e-05,64,64,256,5,4,0.11675930916104305,0.021378752,19.480591100731097,COMPLETE
15,17.800624469517903,38:39.5,50:45.5,0 days 00:12:05.948462,4,1.6623556777667807e-05,64,64,256,5,4,0.097037233,0.032269773,17.800624469517903,COMPLETE
14,17.739973980441047,31:10.9,38:39.5,0 days 00:07:28.599759,4,2.0343109513102256e-05,64,64,128,5,2,0.054071467,0.040056155,17.739973980441047,COMPLETE
12,17.50804037014649,09:57.3,19:42.5,0 days 00:09:45.286936,4,2.3724788916254964e-05,64,64,128,4,2,0.050141688515062614,0.046958314,17.50804037014649,COMPLETE
13,16.92161677413201,19:42.5,31:10.9,0 days 00:11:28.372252,4,7.231940601676826e-05,64,64,256,4,2,0.055816006,0.077851835,16.92161677413201,COMPLETE
4,15.313326084778321,05:51.1,17:12.2,0 days 00:11:21.094765,4,2.662648281486638e-05,128,128,128,3,3,0.2692197363286937,0.049476786131509166,15.313326084778321,COMPLETE
1,11.833186959891021,25:12.9,40:05.3,0 days 00:14:52.368221,8,3.5309330539092404e-05,128,128,128,2,4,0.29156727094543666,0.097693878,11.833186959891021,COMPLETE
2,11.691299131503994,40:05.3,53:25.9,0 days 00:13:20.611692,8,4.129695833845081e-05,128,128,128,2,4,0.18063216062649107,0.036884264,11.691299131503994,COMPLETE
0,9.336223678123421,16:33.3,25:12.9,0 days 00:08:39.592389,4,0.000222969,64,64,128,2,3,0.24581445467409063,0.092604914,9.336223678123421,COMPLETE
5,6.047155588,17:12.2,51:41.8,0 days 07:34:29.524377,8,0.000350478,128,128,256,2,2,0.22689665822878458,0.032684497650250346,,PRUNED
6,0,51:41.8,41:55.4,0 days 00:50:13.608218,4,6.608668574296102e-05,64,128,128,5,4,0.2557765125742302,0.075660628,,PRUNED
7,0,41:55.4,23:14.7,0 days 00:41:19.280838,4,1.3684400090653981e-05,128,128,256,3,3,0.2524422559153365,0.008741828,,PRUNED
8,0,23:14.7,01:54.7,0 days 00:38:40.003116,4,7.58E-05,128,128,256,2,3,0.082439846,0.010626083873064109,,PRUNED
9,0,01:54.7,34:07.5,0 days 00:32:12.739548,4,0.000141982,64,128,256,3,2,0.10446390372009855,0.018525059830338832,,PRUNED
10,0,34:07.5,04:46.1,0 days 00:30:38.597404,8,1.1327507590926842e-05,64,64,256,5,4,0.131196796,0.066512656,,PRUNED
11,0,04:46.1,09:57.2,0 days 00:05:11.111450,4,2.4186604956060603e-05,64,64,128,4,3,0.15757912444224975,0.056806814942447895,,PRUNED
17,11.86859534176756,03:07.1,06:29.0,0 days 00:03:21.947087,4,4.547136956656166e-05,64,64,256,4,4,0.19178062586823028,0.023467809726667038,,PRUNED
18,12.893144755885157,06:29.0,29:55.1,0 days 03:23:26.116672,8,0.000121172,64,64,256,5,4,0.14038008422337273,0.001670277,,PRUNED
19,0,29:55.2,11:03.4,0 days 00:41:08.218988,4,0.000122425,64,64,256,5,4,0.12541494428749433,0.086447297,,PRUNED
